0_precision;0_recall;0_f1-score;1_precision;1_recall;1_f1-score;2_precision;2_recall;2_f1-score;3_precision;3_recall;3_f1-score;accuracy;macro_f1;model;k;C;class_weight;n_estimators;max_depth;min_samples_leaf;learning_rate;task;num_classes;subsample;colsample_bytree
0.685714286;0.503496503;0.580645161;0.719892953;0.880043621;0.791952895;0.59807074;0.572307692;0.58490566;0.626582278;0.363970588;0.460465116;0.686666667;0.604492208;RandomForest*;;;;400;;1;;;;;
0.626213592;0.451048951;0.524390244;0.712041885;0.889858233;0.79108095;0.613114754;0.575384615;0.593650794;0.72027972;0.378676471;0.496385542;0.686111111;0.601376882;RandomForest;;;;400;;1;;;;;
0.631067961;0.454545455;0.528455285;0.713660245;0.888767721;0.79164643;0.599348534;0.566153846;0.582278481;0.710344828;0.378676471;0.494004796;0.684444444;0.599096248;RandomForest;;;;500;;1;;;;;
0.604651163;0.454545455;0.518962076;0.707446809;0.870229008;0.780440098;0.626712329;0.563076923;0.593192869;0.654545455;0.397058824;0.494279176;0.677222222;0.596718555;XGBoost;;;;300;7;;0.05;multiclass;4;1;1
0.657407407;0.496503497;0.565737052;0.715571557;0.86695747;0.784023669;0.610344828;0.544615385;0.575609756;0.568306011;0.382352941;0.457142857;0.676666667;0.595628333;GradientBoosting;;;;500;7;;0.1;;;;
0.670157068;0.447552448;0.536687631;0.695906433;0.908396947;0.78807947;0.638596491;0.56;0.596721311;0.716535433;0.334558824;0.456140351;0.685555556;0.594407191;RandomForest;;;balanced;500;;1;;;;;
0.637209302;0.479020979;0.546906188;0.723636364;0.868047983;0.789291026;0.613333333;0.566153846;0.5888;0.556756757;0.378676471;0.450765864;0.677777778;0.59394077;GradientBoosting;;;;300;7;;0.05;;;;
0.605381166;0.472027972;0.530451866;0.7079252;0.86695747;0.779411765;0.60915493;0.532307692;0.568144499;0.647058824;0.404411765;0.497737557;0.673888889;0.593936422;XGBoost;;;;500;7;;0.05;multiclass;4;1;1
0.622119816;0.472027972;0.536779324;0.706090026;0.872410033;0.780487805;0.608843537;0.550769231;0.578352181;0.621794872;0.356617647;0.453271028;0.672777778;0.587222584;XGBoost;;;;500;5;;0.05;multiclass;4;0.8;1
0.652173913;0.472027972;0.547667343;0.704545455;0.878953108;0.78214459;0.614334471;0.553846154;0.582524272;0.596153846;0.341911765;0.434579439;0.674444444;0.586728911;XGBoost;;;;500;5;;0.05;multiclass;4;0.8;0.8
0.612149533;0.458041958;0.524;0.704918033;0.890948746;0.787090559;0.642335766;0.541538462;0.587646077;0.620915033;0.349264706;0.447058824;0.677222222;0.586448865;XGBoost;;;;500;5;;0.05;multiclass;4;1;0.8
0.623853211;0.475524476;0.53968254;0.702183406;0.876772083;0.779825412;0.626811594;0.532307692;0.575707155;0.590062112;0.349264706;0.438799076;0.671111111;0.583503546;XGBoost;;;;500;5;;0.05;multiclass;4;1;1
0.645933014;0.472027972;0.545454545;0.70173913;0.880043621;0.7808418;0.611888112;0.538461538;0.572831424;0.587096774;0.334558824;0.426229508;0.671111111;0.581339319;GradientBoosting;;;;300;5;;0.05;;;;
0.622727273;0.479020979;0.541501976;0.707295374;0.86695747;0.779029887;0.615658363;0.532307692;0.570957096;0.502857143;0.323529412;0.393736018;0.662777778;0.571306244;GradientBoosting;;;;300;5;;0.1;;;;
0.678362573;0.405594406;0.507658643;0.662151394;0.906215921;0.76519337;0.565217391;0.48;0.519134775;0.693877551;0.25;0.367567568;0.650555556;0.539888589;kNN;15;;;;;;;;;;
0.253333333;0.398601399;0.309782609;0.633079848;0.363140676;0.461538462;0.346354167;0.409230769;0.375176305;0.213636364;0.345588235;0.264044944;0.374444444;0.35263558;LogisticRegression;;0.01;balanced;;;;;;;;
